source_rank,tld,source_status,evidence_state,evidence_date,report_ref,fixture_ref,fixture_scope,evidence_note,follow_up_state,follow_up_date,follow_up_report_ref,follow_up_fixture_ref,follow_up_note
45,be,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Healthy,"","","","",""
46,goog,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Non-public,"","","","",""
47,app,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Unavailable,rdap_only_no_whois,2026-09-25,docs/audits/top1000-es-pk-shop-dev-app-2026-09-25.md,"",IANA lists Google Registry RDAP and no WHOIS server; no WHOIS result is inferred.
48,at,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
49,no,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Healthy,"","","","",""
50,to,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
51,media,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Unsupported,"","","","",""
52,es,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Transient refusal,unknown,2026-09-25,docs/audits/top1000-es-pk-shop-dev-app-2026-09-25.md,"",The registry limits port-43 access to approved IP addresses; no unauthorized query was attempted and no WHOIS result is inferred.
53,mx,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
54,ua,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
55,fi,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
56,cc,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Healthy,"","","","",""
57,gov,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
58,tw,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Healthy,"","","","",""
59,vn,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Restricted,"","","","",""
60,id,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
61,services,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Unsupported,"","","","",""
62,sk,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
63,ar,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
64,hk,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
65,sg,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
66,localdomain,undelegated,classification_only,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Undelegated/non-public; no parser or availability inference,"","","","",""
67,azure-dns-info,undelegated,classification_only,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Undelegated/non-public; no parser or availability inference,"","","","",""
68,za,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Restricted,"","","","",""
69,pt,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
70,dk,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Healthy,"","","","",""
71,network,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Unsupported,"","","","",""
72,gr,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Restricted,"","","","",""
73,gg,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
74,live,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Unsupported,"","","","",""
75,ro,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Healthy,"","","","",""
76,cl,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
77,la,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
78,th,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
79,nz,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
80,is,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Healthy,"","","","",""
81,il,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Healthy,"","","","",""
82,hu,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Healthy,"","","","",""
83,im,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
84,pk,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Unresolved,port43_parser_pair_not_standard_route,2026-09-25,docs/audits/top1000-es-pk-shop-dev-app-2026-09-25.md,spec/fixtures/responses/whois.pknic.net.pk,"Registered and explicit-availability response evidence exists at PKNIC, but the standard whois client selects a legacy web adapter for .pk."
85,sh,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Healthy,"","","","",""
86,ae,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
87,bg,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
88,kz,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
89,my,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
90,pro,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Unsupported,"","","","",""
91,lt,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Healthy,"","","","",""
92,ee,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Healthy,"","","","",""
93,ws,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
94,si,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
95,ph,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Web-only; no port-43 parser or availability inference,"","","","",""
96,rs,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
97,ie,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
98,pe,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
99,fm,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Healthy,"","","","",""
100,link,delegated,unknown,2026-09-19,docs/audits/top-100-tlds-2026-09-19.md,"",not_reported,Fixed,"","","","",""
101,apple,delegated,explicit_unsupported,2026-09-19,docs/audits/top-101-125-tlds-2026-09-19.md,spec/fixtures/responses/audit_20260919_ranks101_125,report_collection,"whois.afilias-srs.net | Registry says TLD is not supported | Standard mapping, no dedicated parser; denial remains non-result","","","","",""
102,zone,delegated,explicit_unsupported,2026-09-19,docs/audits/top-101-125-tlds-2026-09-19.md,spec/fixtures/responses/audit_20260919_ranks101_125,report_collection,"whois.nic.zone | Registry says TLD is not supported | Standard mapping, no dedicated parser; denial remains non-result","","","","",""
103,top,delegated,registered_only,2026-09-19,docs/audits/top-101-125-tlds-2026-09-19.md,spec/fixtures/responses/audit_20260919_ranks101_125,report_collection,"whois.nic.top | Registered response returned for the probe | Standard mapping, no dedicated parser",paired,2026-09-25,docs/audits/top-us-current-2026-09-25.md,spec/fixtures/responses/whois.nic.top/top/status_registered_current.txt;spec/fixtures/responses/whois.nic.top/top/status_absent_current.txt,A later bounded report records registered and exact authoritative absence evidence; the pinned row remains registered-only.
104,uz,delegated,registered_only,2026-09-19,docs/audits/top-101-125-tlds-2026-09-19.md,spec/fixtures/responses/audit_20260919_ranks101_125,report_collection,"whois.cctld.uz | Current registered and exact generated-name no-entry responses returned | Tightened parser to full-line, .uz-anchored evidence",paired,2026-09-25,docs/audits/top-101-125-tlds-2026-09-19.md,spec/fixtures/responses/audit_20260925_ranks104_105,A later bounded report adds registered and exact generated-name no-entry evidence; the pinned row remains registered-only.
105,sa,delegated,registered_only,2026-09-19,docs/audits/top-101-125-tlds-2026-09-19.md,spec/fixtures/responses/audit_20260919_ranks101_125,report_collection,"whois.nic.net.sa | Current registered and exact generated-name no-match responses returned | Tightened parser to full-line, .sa-anchored evidence",paired,2026-09-25,docs/audits/top-101-125-tlds-2026-09-19.md,spec/fixtures/responses/audit_20260925_ranks104_105,A later bounded report adds registered and exact generated-name no-match evidence; the pinned row remains registered-only.
106,lan,undelegated,classification_only,2026-09-19,docs/audits/top-101-125-tlds-2026-09-19.md,spec/fixtures/responses/audit_20260919_ranks101_125,report_collection,No adapter | Source row has no delegation status; no WHOIS server | No parser or availability inference,"","","","",""
107,works,delegated,explicit_unsupported,2026-09-19,docs/audits/top-101-125-tlds-2026-09-19.md,spec/fixtures/responses/audit_20260919_ranks101_125,report_collection,whois.nic.works | Registry says TLD is not supported | Existing typed unavailable parser,"","","","",""
108,gt,delegated,unknown,2026-09-19,docs/audits/top-101-125-tlds-2026-09-19.md,spec/fixtures/responses/audit_20260919_ranks101_125,report_collection,Web-only | No port-43 WHOIS server | No parser change,"","","","",""
109,systems,delegated,explicit_unsupported,2026-09-19,docs/audits/top-101-125-tlds-2026-09-19.md,spec/fixtures/responses/audit_20260919_ranks101_125,report_collection,whois.nic.systems | Registry says TLD is not supported | Existing typed unavailable parser,"","","","",""
110,lv,delegated,paired,2026-09-19,docs/audits/top-101-125-tlds-2026-09-19.md,spec/fixtures/responses/audit_20260919_ranks101_125,report_collection,whois.nic.lv | Registered and free responses parse | Healthy,"","","","",""
111,bz,delegated,paired,2026-09-19,docs/audits/top-101-125-tlds-2026-09-19.md,spec/fixtures/responses/audit_20260919_ranks101_125,report_collection,whois.afilias-grs.info | Registered and free responses parse | Healthy,"","","","",""
112,so,delegated,paired,2026-09-19,docs/audits/top-101-125-tlds-2026-09-19.md,spec/fixtures/responses/audit_20260919_ranks101_125,report_collection,whois.nic.so | Registered and no-object responses parse | Healthy,"","","","",""
113,one,delegated,paired,2026-09-19,docs/audits/top-101-125-tlds-2026-09-19.md,spec/fixtures/responses/audit_20260919_ranks101_125,report_collection,whois.nic.one | ICANN-shaped registered and No Data Found responses parse | Existing parser,"","","","",""
114,ke,delegated,paired,2026-09-19,docs/audits/top-101-125-tlds-2026-09-19.md,spec/fixtures/responses/audit_20260919_ranks101_125,report_collection,whois.kenic.or.ke | Active EPP status and no-object responses parse | Fixed status handling,"","","","",""
115,hr,delegated,paired,2026-09-19,docs/audits/top-101-125-tlds-2026-09-19.md,spec/fixtures/responses/audit_20260919_ranks101_125,report_collection,whois.dns.hr | Current notice-prefixed registered and no-entry responses parse | Fixed scanner and evidence handling,"","","","",""
116,md,delegated,absence_only,2026-09-19,docs/audits/top-101-125-tlds-2026-09-19.md,spec/fixtures/responses/audit_20260919_ranks101_125,report_collection,whois.nic.md | Current double-space label and no-match responses parse | Fixed current markers,"","","","",""
117,st,delegated,paired,2026-09-19,docs/audits/top-101-125-tlds-2026-09-19.md,spec/fixtures/responses/audit_20260919_ranks101_125,report_collection,whois.nic.st | Registered and no-entry responses parse | Healthy,"","","","",""
118,ly,delegated,absence_only,2026-09-19,docs/audits/top-101-125-tlds-2026-09-19.md,spec/fixtures/responses/audit_20260919_ranks101_125,report_collection,whois.nic.ly | Current no-object response parses as available | Fixed absence marker and unknown fallback,"","","","",""
119,business,delegated,explicit_unsupported,2026-09-19,docs/audits/top-101-125-tlds-2026-09-19.md,spec/fixtures/responses/audit_20260919_ranks101_125,report_collection,whois.nic.business | Registry says TLD is not supported | Existing typed unavailable parser,"","","","",""
120,np,delegated,unknown,2026-09-19,docs/audits/top-101-125-tlds-2026-09-19.md,spec/fixtures/responses/audit_20260919_ranks101_125,report_collection,Web-only | No port-43 WHOIS server | No parser change,"","","","",""
121,am,delegated,paired,2026-09-19,docs/audits/top-101-125-tlds-2026-09-19.md,spec/fixtures/responses/audit_20260919_ranks101_125,report_collection,"whois.amnic.net | Current active, registrar locked and no-match responses parse | Fixed status handling","","","","",""
122,ge,delegated,unknown,2026-09-19,docs/audits/top-101-125-tlds-2026-09-19.md,spec/fixtures/responses/audit_20260919_ranks101_125,report_collection,"whois.registration.ge | Port-43 query timed out during audit | Unresolved, no availability inference",paired,2026-09-25,docs/audits/top-101-125-tlds-2026-09-19.md,spec/fixtures/responses/audit_20260925_rank122_ge/whois.nic.ge,"A later pair was captured from IANA-listed whois.nic.ge. The default whois client still routes .ge to whois.registration.ge, so the pair does not establish default-route coverage."
123,ba,delegated,unknown,2026-09-19,docs/audits/top-101-125-tlds-2026-09-19.md,spec/fixtures/responses/audit_20260919_ranks101_125,report_collection,Web-only | No port-43 WHOIS server | No parser change,"","","","",""
124,news,delegated,explicit_unsupported,2026-09-19,docs/audits/top-101-125-tlds-2026-09-19.md,spec/fixtures/responses/audit_20260919_ranks101_125,report_collection,whois.nic.news | Registry says TLD is not supported | Existing typed unavailable parser,"","","","",""
125,et,delegated,unknown,2026-09-19,docs/audits/top-101-125-tlds-2026-09-19.md,spec/fixtures/responses/audit_20260919_ranks101_125,report_collection,No adapter | Whois client reports no WHOIS server | No parser change,"","","","",""
126,invalid,special-use,classification_only,2026-09-19,docs/audits/top-126-150-tlds-2026-09-19.md,spec/fixtures/responses/audit-126-150-2026-09-19,report_collection,"Special-use name, no WHOIS server | Unsupported, safe","","","","",""
127,ne,delegated,unknown,2026-09-19,docs/audits/top-126-150-tlds-2026-09-19.md,spec/fixtures/responses/audit-126-150-2026-09-19,report_collection,"No adapter in the client | Unsupported, safe","","","","",""
128,technology,delegated,explicit_unsupported,2026-09-19,docs/audits/top-126-150-tlds-2026-09-19.md,spec/fixtures/responses/audit-126-150-2026-09-19,report_collection,"whois.nic.technology says TLD is not supported. | Unsupported, safe","","","","",""
129,hn,delegated,absence_only,2026-09-19,docs/audits/top-126-150-tlds-2026-09-19.md,spec/fixtures/responses/audit-126-150-2026-09-19,report_collection,Port 43 returns The queried object does not exist: No Object Found | Fixed,paired,2026-09-25,docs/audits/top-126-150-tlds-2026-09-19.md,spec/fixtures/responses/audit_20260925_rank129_hn/whois.nic.hn,A later report adds a registered response to the earlier no-object observation; current denial and ambiguous cases remain unknown.
130,lu,delegated,absence_only,2026-09-19,docs/audits/top-126-150-tlds-2026-09-19.md,spec/fixtures/responses/audit-126-150-2026-09-19,report_collection,Port 43 returns the existing % No such domain marker | Healthy,"","","","",""
131,ma,delegated,unknown,2026-09-19,docs/audits/top-126-150-tlds-2026-09-19.md,spec/fixtures/responses/audit-126-150-2026-09-19,report_collection,"whois.registre.ma timed out during the audit | Unresolved, safe",paired,2026-09-25,docs/audits/top-126-150-tlds-2026-09-19.md,spec/fixtures/responses/audit_20260925_rank131_ma/whois.registre.ma,"A later bounded report records registered and exact no-object evidence at whois.registre.ma; denied, throttled, and ambiguous replies remain unknown."
132,do,delegated,unknown,2026-09-19,docs/audits/top-126-150-tlds-2026-09-19.md,spec/fixtures/responses/audit-126-150-2026-09-19,report_collection,Web adapter only | Web-only,"","","","",""
133,mobi,delegated,explicit_unsupported,2026-09-19,docs/audits/top-126-150-tlds-2026-09-19.md,spec/fixtures/responses/audit-126-150-2026-09-19,report_collection,"Current Afilias endpoint says TLD is not supported. | Unsupported, safe","","","","",""
134,bd,delegated,unknown,2026-09-19,docs/audits/top-126-150-tlds-2026-09-19.md,spec/fixtures/responses/audit-126-150-2026-09-19,report_collection,Web adapter only | Web-only,"","","","",""
135,host,delegated,absence_only,2026-09-19,docs/audits/top-126-150-tlds-2026-09-19.md,spec/fixtures/responses/audit-126-150-2026-09-19,report_collection,Port 43 uses standard ICANN fields and the Radix availability marker | Fixed,"","","","",""
136,tn,delegated,absence_only,2026-09-19,docs/audits/top-126-150-tlds-2026-09-19.md,spec/fixtures/responses/audit-126-150-2026-09-19,report_collection,Port 43 returns NO OBJECT FOUND! for an absent name | Fixed,"","","","",""
137,li,delegated,unknown,2026-09-19,docs/audits/top-126-150-tlds-2026-09-19.md,spec/fixtures/responses/audit-126-150-2026-09-19,report_collection,Port 43 denies this client and points to the web service | Fixed denial safety,"","","","",""
138,ec,delegated,absence_only,2026-09-19,docs/audits/top-126-150-tlds-2026-09-19.md,spec/fixtures/responses/audit-126-150-2026-09-19,report_collection,Port 43 returns a current no-object response | Healthy,"","","","",""
139,by,delegated,absence_only,2026-09-19,docs/audits/top-126-150-tlds-2026-09-19.md,spec/fixtures/responses/audit-126-150-2026-09-19,report_collection,Port 43 returns lower-case object does not exist | Fixed,"","","","",""
140,kh,delegated,unknown,2026-09-19,docs/audits/top-126-150-tlds-2026-09-19.md,spec/fixtures/responses/audit-126-150-2026-09-19,report_collection,"No adapter in the client | Unsupported, safe","","","","",""
141,nu,delegated,absence_only,2026-09-19,docs/audits/top-126-150-tlds-2026-09-19.md,spec/fixtures/responses/audit-126-150-2026-09-19,report_collection,Port 43 returns domain ... not found. | Healthy,"","","","",""
142,tk,delegated,unknown,2026-09-19,docs/audits/top-126-150-tlds-2026-09-19.md,spec/fixtures/responses/audit-126-150-2026-09-19,report_collection,"Port 43 timed out | Unresolved, safe","","","","",""
143,ng,delegated,unknown,2026-09-19,docs/audits/top-126-150-tlds-2026-09-19.md,spec/fixtures/responses/audit-126-150-2026-09-19,report_collection,"Port 43 timed out | Unresolved, safe","","","","",""
144,global,delegated,explicit_unsupported,2026-09-19,docs/audits/top-126-150-tlds-2026-09-19.md,spec/fixtures/responses/audit-126-150-2026-09-19,report_collection,"whois.nic.global says TLD is not supported. | Unsupported, safe","","","","",""
145,bo,delegated,unknown,2026-09-19,docs/audits/top-126-150-tlds-2026-09-19.md,spec/fixtures/responses/audit-126-150-2026-09-19,report_collection,Port 43 returned a registry error rather than domain evidence | Fixed denial safety; availability remains unresolved,"","","","",""
146,cr,delegated,paired,2026-09-19,docs/audits/top-126-150-tlds-2026-09-19.md,spec/fixtures/responses/audit-126-150-2026-09-19,report_collection,Port 43 returns standard no entries found and domain records | Fixed,"","","","",""
147,ir,delegated,paired,2026-09-19,docs/audits/top-126-150-tlds-2026-09-19.md,spec/fixtures/responses/audit-126-150-2026-09-19,report_collection,Port 43 returns standard no entries found and domain: records | Fixed safety,"","","","",""
148,ve,delegated,paired,2026-09-19,docs/audits/top-126-150-tlds-2026-09-19.md,spec/fixtures/responses/audit-126-150-2026-09-19,report_collection,Port 43 now uses no entries found and domain: records | Fixed,"","","","",""
149,uy,delegated,unknown,2026-09-19,docs/audits/top-126-150-tlds-2026-09-19.md,spec/fixtures/responses/audit-126-150-2026-09-19,report_collection,"Port 43 timed out | Unresolved, safe","","","","",""
150,unifi,undelegated,classification_only,2026-09-19,docs/audits/top-126-150-tlds-2026-09-19.md,spec/fixtures/responses/audit-126-150-2026-09-19,report_collection,"No root delegation or WHOIS server | Unsupported, safe","","","","",""
151,eg,delegated,unknown,2026-09-19,docs/audits/topdomains-151-175-2026-09-19.md,spec/fixtures/responses/topdomains_151_175,report_collection,"Web adapter, no port-43 host | Web-only | No parser change","","","","",""
152,qa,delegated,unknown,2026-09-19,docs/audits/topdomains-151-175-2026-09-19.md,spec/fixtures/responses/topdomains_151_175,report_collection,"whois.registry.qa | Empty response for both probes | Unknown, no parser change","","","","",""
153,bi,delegated,unknown,2026-09-19,docs/audits/topdomains-151-175-2026-09-19.md,spec/fixtures/responses/topdomains_151_175,report_collection,"whois1.nic.bi | Empty response for both probes | Unknown, no parser change","","","","",""
154,py,delegated,unknown,2026-09-19,docs/audits/topdomains-151-175-2026-09-19.md,spec/fixtures/responses/topdomains_151_175,report_collection,"Web adapter, no port-43 host | Web-only | No parser change","","","","",""
155,mz,delegated,unknown,2026-09-19,docs/audits/topdomains-151-175-2026-09-19.md,spec/fixtures/responses/topdomains_151_175,report_collection,"whois.nic.mz | Empty response for both probes | Unknown, no parser change","","","","",""
156,aws,delegated,unknown,2026-09-19,docs/audits/topdomains-151-175-2026-09-19.md,spec/fixtures/responses/topdomains_151_175,report_collection,"whois.nic.aws | Timed out on both probes | Unknown, no parser change","","","","",""
